Lophodytes cucullatus,Hooded Merganser ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Hooded_Merganser
Mergus merganser,Common Merganser ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Common_Merganser
Mergus serrator,Red-breasted Merganser ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Red-breasted_Merganser
Oxyura jamaicensis,Ruddy Duck ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/ruddy_duck
Colinus virginianus,Northern Bobwhite ,Other Land Birds,https://www.allaboutbirds.org/guide/Northern_Bobwhite
Perdix perdix,Gray Partridge ,Other Land Birds,https://www.allaboutbirds.org/guide/Gray_Partridge
Phasianus colchicus,Ring-necked Pheasant ,Other Land Birds,https://www.allaboutbirds.org/guide/Ring-necked_Pheasant
Bonasa umbellus,Ruffed Grouse ,Other Land Birds,https://www.allaboutbirds.org/guide/Ruffed_Grouse
Falcipennis canadensis,Spruce Grouse ,Other Land Birds,https://www.allaboutbirds.org/guide/Spruce_Grouse
Tympanuchus phasianellus,Sharp-tailed Grouse ,Other Land Birds,https://www.allaboutbirds.org/guide/Sharp-tailed_Grouse
Tympanuchus cupido,Greater Prairie-Chicken ,Other Land Birds,https://www.allaboutbirds.org/guide/Greater_Prairie-Chicken
Meleagris gallopavo,Wild Turkey ,Other Land Birds,https://www.allaboutbirds.org/guide/Wild_Turkey
Gavia immer,Common Loon ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Common_Loon
Podilymbus podiceps,Pied-billed Grebe ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Pied-billed_Grebe
Podiceps auritus,Horned Grebe ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Horned_Grebe
Podiceps grisegena,Red-necked Grebe ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Red-necked_Grebe
Podiceps nigricollis,Eared Grebe ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/eared_grebe
Aechmophorus occidentalis,Western Grebe ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Western_Grebe
Aechmophorus clarkii,Clark's Grebe ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/clarks_grebe
Phalacrocorax auritus,Double-crested Cormorant ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/Double-crested_Cormorant
Pelecanus erythrorhynchos,American White Pelican ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/American_White_Pelican
Botaurus lentiginosus,American Bittern ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/American_Bittern
Ixobrychus exilis,Least Bittern ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Least_Bittern
Ardea herodias,Great Blue Heron ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Great_Blue_Heron
Ardea alba,Great Egret ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Great_Egret
Egretta thula,Snowy Egret ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Snowy_Egret
Egretta caerulea,Little Blue Heron ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Little_Blue_Heron
Ardea ibis,Western Cattle-Egret ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Western_Cattle-Egret
Butorides virescens,Green Heron ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Green_Heron
Nycticorax nycticorax,Black-crowned Night-Heron ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Black-crowned_Night_Heron
Nyctanassa violacea,Yellow-crowned Night-Heron ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Yellow-crowned_Night_Heron
Cathartes aura,Turkey Vulture ,Raptors,https://www.allaboutbirds.org/guide/Turkey_Vulture
Pandion haliaetus,Osprey ,Raptors,https://www.allaboutbirds.org/guide/osprey
Haliaeetus leucocephalus,Bald Eagle ,Raptors,https://www.allaboutbirds.org/guide/Bald_Eagle/
Circus cyaneus,Northern Harrier ,Raptors,https://www.allaboutbirds.org/guide/northern_harrier
Accipiter striatus,Sharp-shinned Hawk ,Raptors,https://www.allaboutbirds.org/guide/Sharp-shinned_Hawk
Accipiter cooperii,Cooper's Hawk ,Raptors,https://www.allaboutbirds.org/guide/Coopers_Hawk
Astur atricapillus,American Goshawk ,Raptors,https://www.allaboutbirds.org/guide/American_Goshawk
Buteo lineatus,Red-shouldered Hawk ,Raptors,https://www.allaboutbirds.org/guide/Red-shouldered_Hawk
Buteo platypterus,Broad-winged Hawk ,Raptors,https://www.allaboutbirds.org/guide/Broad-winged_Hawk
Buteo swainsoni,Swainson's Hawk ,Raptors,https://www.allaboutbirds.org/guide/Swainsons_Hawk
Buteo jamaicensis,Red-tailed Hawk ,Raptors,https://www.allaboutbirds.org/guide/Red-tailed_Hawk
